atomtype,smiles,idx_in_mol,mol_index,node_attentions,edge_attentions,prediction,truth
C,,9,5,"[0.38842952251434326, 0.3852865993976593, 0.4084639251232147, 0.3619900345802307, 0.3704015910625458, 0.35305291414260864, 0.3317250907421112, 0.4085172712802887, 0.3546193242073059, 0.4036373496055603, 0.3497021794319153, 0.3912619948387146, 0.35266587138175964, 0.0, 0.0, 0.0, 0.0, 0.3893928825855255, 0.35330110788345337, 0.39825141429901123, 0.40512627363204956, 0.375396192073822, 0.3863702416419983, 0.35560932755470276, 0.33416712284088135, 0.3883247375488281, 0.38190263509750366]","[0.38146543502807617, 0.7559185028076172, 0.3625575602054596, 0.3849702477455139, 0.35548728704452515, 0.7179578542709351, 0.3283414840698242, 0.3985072672367096, 0.3308711349964142, 0.7114843130111694, 0.3635644018650055, 0.414366751909256, 0.27666908502578735, 0.4104422926902771, 0.34377530217170715, 0.7282805442810059, 0.6962409615516663, 0.3902945816516876, 0.36935779452323914, 0.29411759972572327, 0.6929845213890076, 0.6739751696586609, 0.7361273765563965, 0.3380756080150604, 0.3017694056034088, 0.3680465519428253, 0.37725555896759033, 0.2970724403858185, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.40911582112312317, 0.32840049266815186, 0.3072381019592285, 0.31771910190582275, 0.3197847306728363, 0.7168707251548767, 0.3451210856437683, 0.37457630038261414, 0.33896827697753906, 0.29483750462532043, 0.7256544828414917, 0.3851700723171234, 0.3607577383518219, 0.2495681345462799, 0.35827258229255676, 0.3151912987232208, 0.760392427444458, 0.709735095500946, 0.3319253921508789, 0.718808114528656]",0.1626252382993698,0.1734
C,,10,5,"[0.0, 0.3682135343551636, 0.0, 0.3859465420246124, 0.35375434160232544, 0.3856835663318634, 0.3667187988758087, 0.41803738474845886, 0.4429246187210083, 0.4177227020263672, 0.42742234468460083, 0.3988591730594635, 0.39398181438446045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.404936820268631, 0.36826092004776, 0.3997127413749695, 0.38036617636680603, 0.65750652551651, 0.6046666502952576, 0.5989411473274231, 0.3592245280742645, 0.43101850152015686]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7482374310493469, 0.7038203477859497, 0.3599177300930023, 0.33287549018859863, 0.7551223635673523, 0.7141776084899902, 0.40895697474479675, 0.34994253516197205, 0.2513958513736725, 0.37266287207603455, 0.3662179708480835, 0.3551780581474304, 0.3678579032421112, 0.7627429366111755, 0.3199303448200226, 0.644273042678833, 0.3075985312461853, 0.3930838704109192, 0.250920832157135, 0.38682621717453003, 0.2962917685508728, 0.37981516122817993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29686862230300903, 0.7410682439804077, 0.41871213912963867, 0.41816261410713196, 0.35656842589378357, 0.36979028582572937, 0.22632232308387756, 0.30685895681381226, 0.3319191634654999, 0.6857542395591736, 0.3701738119125366, 0.6354638338088989, 0.37232598662376404, 0.6811213493347168, 0.3279954195022583, 0.4356457591056824, 0.764149010181427, 0.40847763419151306]",-0.4821362793445587,-0.4923
N,,11,5,"[0.38213038444519043, 0.37632232904434204, 0.4056532084941864, 0.32323795557022095, 0.3610348701477051, 0.3568166196346283, 0.36540547013282776, 0.357125461101532, 0.33800575137138367, 0.39411666989326477, 0.38512295484542847, 0.6218234300613403, 0.3530408442020416, 0.39383357763290405, 0.3903958797454834, 0.3689509630203247, 0.3957223892211914, 0.3548868000507355, 0.3648325502872467, 0.3760567009449005, 0.36725103855133057, 0.4104479253292084, 0.44529643654823303, 0.43363654613494873, 0.34540578722953796, 0.6487420797348022, 0.3926030397415161]","[0.31471073627471924, 0.6846215724945068, 0.4089650511741638, 0.3128544092178345, 0.7034869194030762, 0.3506676256656647, 0.3377734422683716, 0.36715349555015564, 0.7838300466537476, 0.39504244923591614, 0.34644439816474915, 0.3400249779224396, 0.2670041620731354, 0.6824098229408264, 0.3725363314151764, 0.3195376992225647, 0.7018316388130188, 0.7094741463661194, 0.30661725997924805, 0.29092293977737427, 0.6837052702903748, 0.6197392344474792, 0.330227255821228, 0.39987972378730774, 0.3828308582305908, 0.38363945484161377, 0.6660135388374329, 0.5408420562744141, 0.3070046603679657, 0.33596155047416687, 0.39315226674079895, 0.3228430151939392, 0.3530932366847992, 0.3560323417186737, 0.37757450342178345, 0.25823974609375, 0.36913853883743286, 0.3133096992969513, 0.41302594542503357, 0.4010036289691925, 0.3947042226791382, 0.383380264043808, 0.33143678307533264, 0.37810570001602173, 0.7405322790145874, 0.4186449348926544, 0.35072916746139526, 0.3475339412689209, 0.7063736319541931, 0.39897289872169495, 0.3027452230453491, 0.3794820010662079, 0.630859911441803, 0.5682587623596191, 0.3988613486289978, 0.36208635568618774]",-0.6250668168067932,-0.644
C,,12,5,"[0.33687111735343933, 0.4174061417579651, 0.35874906182289124, 0.3694854974746704, 0.3750496208667755, 0.4041808545589447, 0.3742256760597229, 0.378238707780838, 0.4107615649700165, 0.4267967939376831, 0.3734976053237915, 0.3403070569038391, 0.3664190173149109, 0.35327428579330444, 0.3596673607826233, 0.3862933814525604, 0.39192691445350647, 0.3704017698764801, 0.3251127600669861, 0.37191319465637207, 0.36903440952301025, 0.3420645296573639, 0.36165258288383484, 0.36290910840034485, 0.3788183927536011, 0.3619697690010071, 0.4041641354560852]","[0.285934180021286, 0.30587872862815857, 0.3133395314216614, 0.2556455433368683, 0.3918316960334778, 0.3974992632865906, 0.7146621346473694, 0.3306693136692047, 0.7350461483001709, 0.723979651927948, 0.3832942247390747, 0.39518627524375916, 0.3807372748851776, 0.3982521593570709, 0.3234288692474365, 0.3715662360191345, 0.39156463742256165, 0.37413686513900757, 0.3911435604095459, 0.32432812452316284, 0.399663507938385, 0.3148566484451294, 0.6749900579452515, 0.3554361164569855, 0.3206535875797272, 0.27974408864974976, 0.37826281785964966, 0.3791063129901886, 0.37976500391960144, 0.3875004053115845, 0.38954728841781616, 0.4095768332481384, 0.30519095063209534, 0.4230363070964813, 0.726662278175354, 0.3859862983226776, 0.724033772945404, 0.3888036012649536, 0.32174697518348694, 0.3574778735637665, 0.7528537511825562, 0.37376561760902405, 0.7297684550285339, 0.793434739112854, 0.2899954319000244, 0.41555410623550415, 0.7544660568237305, 0.3498203456401825, 0.2443082481622696, 0.34674736857414246, 0.302979975938797, 0.31113287806510925, 0.40313518047332764, 0.42558348178863525, 0.6843010187149048, 0.6578097343444824]",-0.190275639295578,-0.1953
H,,13,5,"[0.38842111825942993, 0.384907603263855, 0.38168683648109436, 0.40329110622406006, 0.37675973773002625, 0.37193918228149414, 0.3746449649333954, 0.36543577909469604, 0.0, 0.0, 0.0, 0.3725318908691406, 0.34680846333503723, 0.38616207242012024, 0.37783873081207275, 0.34981462359428406, 0.37661120295524597, 0.35684704780578613, 0.372650146484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36861711740493774]","[0.7518925070762634, 0.3735208213329315, 0.3618875741958618, 0.2825338840484619, 0.1920326054096222, 0.36960718035697937, 0.29745280742645264, 0.38677504658699036, 0.4020601212978363, 0.29854339361190796, 0.39351028203964233, 0.7134479284286499, 0.3922996520996094, 0.369772344827652, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7429755926132202, 0.378015398979187, 0.28524720668792725, 0.3621479570865631, 0.3479025959968567, 0.4161478281021118, 0.3242289423942566, 0.3135228753089905, 0.36335140466690063, 0.327913761138916, 0.38916662335395813, 0.31758275628089905, 0.37502679228782654, 0.37287309765815735, 0.726901650428772, 0.32978445291519165, 0.7176316976547241, 0.36895373463630676, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7243419885635376, 0.3357521593570709]",0.14407005906105042,0.1462
H,,14,5,"[0.3709624707698822, 0.3781299889087677, 0.40150511264801025, 0.38637587428092957, 0.3619527220726013, 0.3599703013896942, 0.4056360125541687, 0.3624252378940582, 0.0, 0.0, 0.0, 0.41390010714530945, 0.3834919035434723, 0.3711186349391937, 0.40406206250190735, 0.3920309543609619, 0.34535032510757446, 0.39887121319770813, 0.3852680027484894, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33268406987190247]","[0.3099149465560913, 0.3444875478744507, 0.7186463475227356, 0.32826152443885803, 0.317181259393692, 0.2883240282535553, 0.3027745485305786, 0.3725641369819641, 0.38585683703422546, 0.4032766819000244, 0.3030831515789032, 0.38046279549598694, 0.3680960536003113, 0.35750576853752136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2817822992801666, 0.3408752381801605, 0.38638898730278015, 0.39788171648979187, 0.3843856453895569, 0.3578350245952606, 0.40494105219841003, 0.38093051314353943, 0.3002200424671173, 0.7283768057823181, 0.3732639253139496, 0.3658234179019928, 0.34189268946647644, 0.3287537395954132, 0.32737109065055847, 0.3091790974140167, 0.3364691734313965, 0.7086657285690308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3961551785469055, 0.38295766711235046]",0.14407005906105042,0.1438
H,,15,5,"[0.4316944479942322, 0.36276522278785706, 0.4027141332626343, 0.3871251940727234, 0.38923466205596924, 0.37712278962135315, 0.3508283793926239, 0.3835921585559845, 0.0, 0.0, 0.0, 0.3828795552253723, 0.394070029258728, 0.3875858187675476, 0.3388782739639282, 0.4707276523113251, 0.36612468957901, 0.3427613377571106, 0.3714238703250885, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3785533010959625]","[0.362586110830307, 0.3844912350177765, 0.40701398253440857, 0.3671324551105499, 0.39236918091773987, 0.7166044116020203, 0.3645763695240021, 0.3683713674545288, 0.39617010951042175, 0.39141860604286194, 0.34883585572242737, 0.31740519404411316, 0.30592671036720276, 0.7214667797088623, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7092494368553162, 0.3836513161659241, 0.3463497757911682, 0.40944862365722656, 0.739010751247406, 0.3400422930717468, 0.36888864636421204, 0.7010108828544617, 0.3250071704387665, 0.36666926741600037, 0.43338823318481445, 0.3562527000904083, 0.7243606448173523, 0.3307717740535736, 0.2909507155418396, 0.26955288648605347, 0.3848123252391815, 0.318289577960968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3556063771247864, 0.3431274890899658]",0.14407005906105042,0.1422
H,,16,5,"[0.36102765798568726, 0.38704073429107666, 0.39408016204833984, 0.3950868546962738, 0.39107242226600647, 0.3681257665157318, 0.34431934356689453, 0.3323865532875061, 0.0, 0.0, 0.0, 0.4131292998790741, 0.36125192046165466, 0.36876368522644043, 0.3979468047618866, 0.41558611392974854, 0.36660003662109375, 0.38770270347595215, 0.3576740324497223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35977545380592346]","[0.2972427010536194, 0.7466548681259155, 0.366141140460968, 0.3625580966472626, 0.4136870205402374, 0.37620484828948975, 0.3172387480735779, 0.3939868211746216, 0.27650442719459534, 0.4029810428619385, 0.367409348487854, 0.4170292317867279, 0.3668018877506256, 0.40052330493927, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.40046972036361694, 0.316336065530777, 0.36375492811203003, 0.32383477687835693, 0.3222324550151825, 0.3397243022918701, 0.37132519483566284, 0.3288458585739136, 0.35565686225891113, 0.3537321090698242, 0.3669165074825287, 0.41022250056266785, 0.44519904255867004, 0.35504961013793945, 0.3367196023464203, 0.715126633644104, 0.2991298735141754, 0.3701346218585968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41561654210090637, 0.7075644135475159]",0.14417970180511475,0.1455
H,,17,5,"[0.3662555515766144, 0.3569677472114563, 0.415948748588562, 0.3735421895980835, 0.3465476334095001, 0.3593842685222626, 0.3647048771381378, 0.3677695095539093, 0.35742703080177307, 0.36089396476745605, 0.0, 0.3692387342453003, 0.3894824683666229, 0.38714364171028137, 0.3654193580150604, 0.3936396837234497, 0.4552386403083801, 0.40685251355171204, 0.3726026117801666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3723602294921875, 0.3681226670742035]","[0.32734861969947815, 0.3298538625240326, 0.3728216886520386, 0.39709270000457764, 0.3884211778640747, 0.30982235074043274, 0.3821240961551666, 0.6960557699203491, 0.7383844256401062, 0.29595011472702026, 0.41457006335258484, 0.2830621600151062, 0.307924747467041, 0.3009400963783264, 0.2913070321083069, 0.36707359552383423, 0.34185391664505005, 0.3871845602989197, 0.0, 0.0, 0.3950667977333069, 0.3095572888851166, 0.7353720664978027, 0.7134304046630859, 0.38870692253112793, 0.7183502316474915, 0.7207273840904236, 0.31902584433555603, 0.3805147707462311, 0.3879561424255371, 0.3926149904727936, 0.38124287128448486, 0.3197758197784424, 0.7070780396461487, 0.30666211247444153, 0.30138665437698364, 0.43200212717056274, 0.29023104906082153, 0.3410661518573761, 0.37120869755744934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2590043842792511, 0.7187387347221375, 0.28631338477134705, 0.7117364406585693]",0.14522041380405426,0.146
H,,18,5,"[0.39403077960014343, 0.3623071014881134, 0.38205817341804504, 0.37675806879997253, 0.3624293804168701, 0.3674715459346771, 0.37669655680656433, 0.3605382740497589, 0.3797300159931183, 0.3528001308441162, 0.3573814928531647, 0.4057546854019165, 0.374351441860199, 0.38439202308654785, 0.3613806664943695, 0.40506771206855774, 0.34821608662605286, 0.34175583720207214, 0.3568733036518097, 0.3667694926261902, 0.3677758276462555, 0.36917126178741455, 0.0, 0.0, 0.0, 0.4254169464111328, 0.3630253076553345]","[0.35174790024757385, 0.4109879732131958, 0.3580021858215332, 0.31931450963020325, 0.7265767455101013, 0.36316484212875366, 0.34510692954063416, 0.285689115524292, 0.3757404088973999, 0.698872447013855, 0.28290605545043945, 0.367572546005249, 0.2888776659965515, 0.39147722721099854, 0.4002068340778351, 0.35463768243789673, 0.7638732194900513, 0.37130528688430786, 0.40180066227912903, 0.7601679563522339, 0.3877887427806854, 0.3780747056007385, 0.3948312997817993, 0.3964035212993622, 0.37123581767082214, 0.3778568506240845, 0.4138564169406891, 0.4103059470653534, 0.29922428727149963, 0.31791743636131287, 0.36694151163101196, 0.34420180320739746, 0.3158237040042877, 0.3638766407966614, 0.3512859642505646, 0.3579912483692169, 0.7185287475585938, 0.3880487382411957, 0.46835118532180786, 0.3894096910953522, 0.3357597887516022, 0.4150361120700836, 0.7393057346343994, 0.38809478282928467, 0.30125948786735535, 0.3141968250274658, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333818316459656, 0.3492279648780823, 0.40220949053764343, 0.3396718502044678]",0.14846117794513702,0.1511
H,,19,5,"[0.0, 0.3622623682022095, 0.0, 0.3869875371456146, 0.3834041357040405, 0.35340622067451477, 0.36886852979660034, 0.3819587230682373, 0.38146230578422546, 0.36102163791656494, 0.3745756447315216, 0.3447105288505554, 0.32912006974220276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38364604115486145, 0.3340936601161957, 0.4186834692955017, 0.37159109115600586, 0.38094809651374817, 0.3883073925971985, 0.40144383907318115, 0.4065861105918884, 0.37160196900367737]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7243093848228455, 0.3675897419452667, 0.34014374017715454, 0.394731730222702, 0.7168291211128235, 0.40509700775146484, 0.7277182936668396, 0.3507596552371979, 0.7466140985488892, 0.3213557004928589, 0.7605541944503784, 0.2958507239818573, 0.3108051121234894, 0.39923402667045593, 0.3671961724758148, 0.4049164056777954, 0.39007940888404846, 0.30702847242355347, 0.4198906123638153, 0.3969316780567169, 0.3121514320373535, 0.2710035443305969, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3076106607913971, 0.7285661101341248, 0.36829397082328796, 0.7044520378112793, 0.34121882915496826, 0.752324640750885, 0.3610351085662842, 0.2655254304409027, 0.3518620431423187, 0.37543249130249023, 0.30977287888526917, 0.7192755341529846, 0.24218140542507172, 0.312102347612381, 0.341962605714798, 0.3574169874191284, 0.731627881526947, 0.7381016612052917]",0.09058478474617004,0.0868
H,,20,5,"[0.0, 0.38276010751724243, 0.0, 0.44456231594085693, 0.3500978648662567, 0.38649222254753113, 0.36481180787086487, 0.34569692611694336, 0.32476720213890076, 0.362112820148468, 0.3383648693561554, 0.35546720027923584, 0.37208232283592224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3682994544506073, 0.3916197121143341, 0.353351891040802, 0.4223693311214447, 0.34857073426246643, 0.3728041648864746, 0.39482009410858154, 0.38809171319007874, 0.39815884828567505]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3416498005390167, 0.3692058324813843, 0.31051650643348694, 0.34396475553512573, 0.3976069390773773, 0.40433937311172485, 0.37009894847869873, 0.7573557496070862, 0.3452918529510498, 0.7411789298057556, 0.2947172522544861, 0.38495633006095886, 0.35915783047676086, 0.3634953796863556, 0.38933590054512024, 0.2760361433029175, 0.4117272198200226, 0.3579058349132538, 0.3297944962978363, 0.4003727436065674, 0.38054215908050537, 0.40958070755004883, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41524481773376465, 0.7649274468421936, 0.41200312972068787, 0.39535242319107056, 0.30364876985549927, 0.36419782042503357, 0.33570653200149536, 0.39544790983200073, 0.4164929986000061, 0.3244679272174835, 0.34081268310546875, 0.33365771174430847, 0.42357054352760315, 0.7932927012443542, 0.34245026111602783, 0.40759727358818054, 0.35053154826164246, 0.37839511036872864]",0.09058478474617004,0.0956
H,,21,5,"[0.0, 0.3870229423046112, 0.0, 0.3722095787525177, 0.44415512681007385, 0.3981996774673462, 0.353187620639801, 0.3575097620487213, 0.39588063955307007, 0.34704160690307617, 0.4105410873889923, 0.3740200400352478, 0.36775752902030945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41202399134635925, 0.37878653407096863, 0.3225482702255249, 0.3785597085952759, 0.41426992416381836, 0.37877872586250305, 0.3717087209224701, 0.37078750133514404, 0.33219385147094727]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36300021409988403, 0.24238698184490204, 0.3562192916870117, 0.24329768121242523, 0.4157859981060028, 0.35142701864242554, 0.36643117666244507, 0.4212920367717743, 0.31267377734184265, 0.32984957098960876, 0.3825511634349823, 0.3589211106300354, 0.3655465841293335, 0.33398106694221497, 0.34799984097480774, 0.3126472234725952, 0.36704695224761963, 0.29881107807159424, 0.3966537415981293, 0.3693495988845825, 0.2552860379219055, 0.3788842558860779, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7204980850219727, 0.3319147229194641, 0.7079421877861023, 0.389691561460495, 0.33454203605651855, 0.2684869170188904, 0.4506203532218933, 0.37112709879875183, 0.38472244143486023, 0.7295252084732056, 0.2826702296733856, 0.3255270719528198, 0.3899921774864197, 0.3210991621017456, 0.32610687613487244, 0.3274969458580017, 0.39804577827453613, 0.36996498703956604]",0.0802624374628067,0.076
H,,22,5,"[0.0, 0.0, 0.0, 0.0, 0.3919369578361511, 0.4108557105064392, 0.369824081659317, 0.4076303541660309, 0.3639203906059265, 0.3835436701774597, 0.36572933197021484, 0.4061567783355713, 0.39411497116088867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35287904739379883, 0.3816242218017578, 0.4147787392139435, 0.44318661093711853, 0.3735097646713257, 0.36640825867652893, 0.3812273442745209, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3502613306045532, 0.3489904999732971, 0.34466326236724854, 0.3448384702205658, 0.40326473116874695, 0.7166467308998108, 0.38362881541252136, 0.33945560455322266, 0.2638663649559021, 0.34837332367897034, 0.6966347098350525, 0.41067391633987427, 0.3145747482776642, 0.361864298582077, 0.38691216707229614, 0.2910785675048828, 0.0, 0.0, 0.2968742549419403, 0.3234478235244751, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3287217617034912, 0.34926506876945496, 0.3836917281150818, 0.7312647104263306, 0.38448566198349, 0.3197495937347412, 0.37500113248825073, 0.6944140791893005, 0.404352605342865, 0.7192873954772949, 0.3663545548915863, 0.34693557024002075, 0.719315230846405, 0.2893607020378113, 0.0, 0.0]",0.14539797604084015,0.1487
H,,23,5,"[0.0, 0.0, 0.0, 0.0, 0.34344297647476196, 0.3694447875022888, 0.36875617504119873, 0.43651899695396423, 0.3923533856868744, 0.38099730014801025, 0.4109240174293518, 0.35804852843284607, 0.36054274439811707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35729289054870605, 0.3691070079803467, 0.3706168234348297, 0.3697964549064636, 0.42758116126060486, 0.3568594455718994, 0.3606742024421692, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7280316948890686, 0.2932814061641693, 0.7250015139579773, 0.3739769458770752, 0.7255551815032959, 0.3354743719100952, 0.2752391993999481, 0.38217732310295105, 0.38347676396369934, 0.36249667406082153, 0.3559260964393616, 0.31321942806243896, 0.4132191836833954, 0.32734668254852295, 0.41176971793174744, 0.42189812660217285, 0.0, 0.0, 0.4133281409740448, 0.7154908776283264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7257172465324402, 0.3766546845436096, 0.3209088146686554, 0.7242584228515625, 0.2800450623035431, 0.38370001316070557, 0.39505457878112793, 0.3791998624801636, 0.702160120010376, 0.3234562873840332, 0.4002267122268677, 0.34327492117881775, 0.3204357922077179, 0.37730884552001953, 0.0, 0.0]",0.14539797604084015,0.1469
H,,24,5,"[0.0, 0.0, 0.0, 0.0, 0.3864710330963135, 0.3284289240837097, 0.40074601769447327, 0.37087544798851013, 0.3892597556114197, 0.3952627182006836, 0.39500993490219116, 0.37677064538002014, 0.3528235852718353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4399975538253784, 0.411257803440094, 0.3909623324871063, 0.3474429249763489, 0.35678356885910034, 0.41884422302246094, 0.3716681897640228, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37092381715774536, 0.3087059259414673, 0.38324445486068726, 0.3312002420425415, 0.38808226585388184, 0.3208544850349426, 0.37875327467918396, 0.34852349758148193, 0.346797913312912, 0.3185434639453888, 0.6830996870994568, 0.28985416889190674, 0.28826823830604553, 0.35312891006469727, 0.7464684844017029, 0.4104025959968567, 0.0, 0.0, 0.27168482542037964, 0.7184667587280273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7215858101844788, 0.3471679389476776, 0.3965761959552765, 0.3567335605621338, 0.26627612113952637, 0.33030766248703003, 0.36427822709083557, 0.693617582321167, 0.38391032814979553, 0.31970760226249695, 0.399385929107666, 0.3370921015739441, 0.34705471992492676, 0.3544917106628418, 0.0, 0.0]",0.14539800584316254,0.1375
H,,25,5,"[0.3832780420780182, 0.40996894240379333, 0.36927494406700134, 0.37451544404029846, 0.41652289032936096, 0.37018752098083496, 0.3580349385738373, 0.36373090744018555, 0.41711583733558655, 0.44798940420150757, 0.38078954815864563, 0.6069878339767456, 0.37489208579063416, 0.0, 0.0, 0.0, 0.0, 0.3540356159210205, 0.38548943400382996, 0.3775599002838135, 0.384991317987442, 0.3675280809402466, 0.38748612999916077, 0.36942780017852783, 0.3599300980567932, 0.4806717336177826, 0.3594757914543152]","[0.414252370595932, 0.3179706633090973, 0.29353681206703186, 0.36747559905052185, 0.37467262148857117, 0.3402267098426819, 0.4045514166355133, 0.7466856241226196, 0.3804559111595154, 0.3311571180820465, 0.2824140191078186, 0.3535633385181427, 0.3974013030529022, 0.3910274803638458, 0.3614077568054199, 0.3296848237514496, 0.29605960845947266, 0.3316050171852112, 0.40593433380126953, 0.40577375888824463, 0.6095845103263855, 0.37110811471939087, 0.40375155210494995, 0.32196834683418274, 0.3035129904747009, 0.3801807761192322, 0.33658266067504883, 0.6573247313499451, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33820047974586487, 0.6964606642723083, 0.3460807204246521, 0.3433142900466919, 0.37632960081100464, 0.337321400642395, 0.713337242603302, 0.2963502109050751, 0.7269481420516968, 0.360205739736557, 0.32852333784103394, 0.7051790356636047, 0.346217542886734, 0.28834137320518494, 0.3884653151035309, 0.2682192027568817, 0.62174391746521, 0.6882020235061646, 0.38739314675331116, 0.3239317536354065]",0.37876516580581665,0.3823
H,,26,5,"[0.45844027400016785, 0.35850563645362854, 0.39962372183799744, 0.36730310320854187, 0.3930383324623108, 0.3267204165458679, 0.3944918215274811, 0.3677586317062378, 0.35950908064842224, 0.3475530743598938, 0.3792884349822998, 0.36538228392601013, 0.4319395422935486, 0.35802581906318665, 0.3678373098373413, 0.34941279888153076, 0.4009854793548584, 0.35124096274375916, 0.41809797286987305, 0.4171675145626068, 0.3782958984375, 0.3558904528617859, 0.0, 0.0, 0.0, 0.3619897961616516, 0.3932306170463562]","[0.3540137708187103, 0.39490437507629395, 0.3455449342727661, 0.27390748262405396, 0.4063972532749176, 0.4075273871421814, 0.35487255454063416, 0.7161367535591125, 0.2968888282775879, 0.3597346544265747, 0.3274810016155243, 0.3251629173755646, 0.2946348488330841, 0.31567510962486267, 0.3607560992240906, 0.3730533719062805, 0.32947736978530884, 0.34974366426467896, 0.3960075378417969, 0.7677764892578125, 0.2789446711540222, 0.3766414523124695, 0.3051954507827759, 0.3251981735229492, 0.4098423719406128, 0.324789822101593, 0.3891536295413971, 0.27456432580947876, 0.37084439396858215, 0.32521286606788635, 0.351535439491272, 0.41165274381637573, 0.3391013443470001, 0.36898282170295715, 0.3191187083721161, 0.27117791771888733, 0.3460565507411957, 0.724696934223175, 0.3387705683708191, 0.2888607978820801, 0.403698593378067, 0.3227739632129669, 0.3814425766468048, 0.3043580949306488, 0.3261510729789734, 0.30738985538482666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34029728174209595, 0.3881688714027405, 0.4214427173137665, 0.3023700714111328]",0.15032650530338287,0.1474
